subclone,parent,mutation,beta,fitness,cells,mutations,dob,dod,maxpop,deaths,mutation_selection,resistant,tumorid,finalsnapshot,year
65,0,0.03573418213277795,0.9597457115688182,1.0402542884311818,772452783,2,2584,0,772452786,619854405,9.930350319820036E-9,1,AA9_300864,Y,24.0
179,0,0.01148885416899101,0.9838773867849857,1.0161226132150143,214,2,2852,0,215,3765,7.495330800466604E-9,1,AA9_300864,Y,24.0
187,0,0.005326159715045998,0.9900111929038884,1.0099888070961116,266,2,2866,0,270,8838,8.915242766249776E-9,1,AA9_300864,Y,24.0
226,0,0.020816004788534292,0.9745939582506604,1.0254060417493396,130,2,2911,0,168,2534,4.646890428006145E-9,1,AA9_300864,Y,24.0
261,65,0.0018408679090598002,0.9579789464875333,1.0420210535124665,152,3,2947,0,170,999,4.097373773603863E-9,1,AA9_300864,Y,24.0
282,65,0.031558633488387236,0.9294574484153664,1.0705425515846336,4,3,2963,0,17,74,7.408215263460249E-9,1,AA9_300864,Y,24.0
288,65,8.053448076719461E-5,0.9596684189462684,1.0403315810537315,4,3,2965,0,20,126,7.338359697683927E-9,1,AA9_300864,Y,24.0
296,65,0.008817434729882301,0.9512832163997756,1.0487167836002245,56,3,2968,0,58,236,7.237806243232114E-9,1,AA9_300864,Y,24.0
304,65,0.005354698956802561,0.9546065622082849,1.0453934377917151,10,3,2974,0,12,50,9.297523195783697E-9,1,AA9_300864,Y,24.0
320,65,0.0016837452314987667,0.9581297443035128,1.0418702556964872,16,3,2976,0,17,47,8.719585165017918E-9,1,AA9_300864,Y,24.0
324,65,0.0036255713737638386,0.9562660849908616,1.0437339150091383,24,3,2977,0,31,92,3.8760878950938604E-9,1,AA9_300864,Y,24.0
331,65,0.03817597771520016,0.923106480671708,1.076893519328292,30,3,2979,0,31,51,7.2111260296381374E-9,1,AA9_300864,Y,24.0
332,65,0.008468388156051197,0.9516182123521478,1.0483817876478523,14,3,2979,0,15,29,5.048172324606526E-9,1,AA9_300864,Y,24.0
336,0,0.004992924894553137,0.9903428656480502,1.0096571343519498,4,2,2980,0,4,12,9.474139472942511E-9,1,AA9_300864,Y,24.0
338,65,0.006370496569047038,0.9536316548061113,1.0463683451938888,6,3,2980,0,10,32,5.940523517544705E-9,1,AA9_300864,Y,24.0
347,65,0.005151007940912744,0.9548020537872702,1.0451979462127299,22,3,2984,0,22,18,2.5995364749675787E-9,1,AA9_300864,Y,24.0
349,65,0.010397254912704348,0.9497669907542623,1.0502330092457377,20,3,2984,0,20,29,7.122665901526659E-9,1,AA9_300864,Y,24.0
351,0,0.011479372946762042,0.9838868235629011,1.016113176437099,8,2,2985,0,8,13,5.067392061519627E-9,1,AA9_300864,Y,24.0
357,65,0.0027382922053854355,0.9571176473676771,1.042882352632323,2,3,2986,0,3,7,7.292022985438962E-9,1,AA9_300864,Y,24.0
360,0,0.044300457221455244,0.9512195918742912,1.0487804081257088,2,2,2987,0,4,7,7.727105733046358E-9,1,AA9_300864,Y,24.0
365,0,9.061454791303127E-4,0.9944104878175835,1.0055895121824165,4,2,2988,0,4,5,8.620296254591153E-9,1,AA9_300864,Y,24.0
370,65,0.002555503449019838,0.957293078092722,1.042706921907278,6,3,2988,0,6,4,6.703871235913539E-9,1,AA9_300864,Y,24.0
374,65,0.013518584562206195,0.9467713080087603,1.0532286919912397,8,3,2989,0,10,6,9.412512991247013E-10,1,AA9_300864,Y,24.0
378,65,0.04807942531597905,0.9136016893071139,1.086398310692886,2,3,2990,0,3,3,9.667043832095601E-9,1,AA9_300864,Y,24.0
379,65,0.007249008745176643,0.95278850651251,1.0472114934874899,4,3,2990,0,6,3,4.19899637282839E-9,1,AA9_300864,Y,24.0
384,65,0.008169455642163016,0.9519051115504006,1.0480948884495995,4,3,2991,0,4,1,9.859213112584087E-9,1,AA9_300864,Y,24.0
386,65,0.003998492528651325,0.955908175511705,1.0440918244882949,4,3,2992,0,4,0,9.378253174041618E-9,1,AA9_300864,Y,24.0
389,65,0.0019179577409988015,0.9579049598519244,1.0420950401480757,2,3,2992,0,3,1,7.167922255746362E-9,1,AA9_300864,Y,24.0
390,0,0.00932059666866671,0.986035480330307,1.0139645196696931,2,2,2993,0,2,0,7.969899407100911E-9,1,AA9_300864,Y,24.0
392,65,0.007653906573756616,0.9523999075579068,1.0476000924420932,2,3,2993,0,2,0,8.527364481203392E-9,1,AA9_300864,Y,24.0
393,65,0.008600369052910837,0.9514915442523778,1.0485084557476223,2,3,2993,0,2,0,2.544009558569371E-9,1,AA9_300864,Y,24.0
394,65,0.02816985604723213,0.9327098130319762,1.0672901869680238,2,3,2993,0,2,0,7.1212058472269746E-9,1,AA9_300864,Y,24.0
395,65,0.011841598380516025,0.9483807883049976,1.0516192116950025,2,3,2993,0,2,0,7.631528742280125E-11,1,AA9_300864,Y,24.0
396,0,0.005520274265150013,0.9898179882879377,1.0101820117120623,1,2,2994,0,1,0,6.172568012274837E-10,1,AA9_300864,Y,24.0
397,0,0.02121987511127173,0.9741919811162489,1.025808018883751,1,2,2994,0,1,0,5.208787290378325E-9,1,AA9_300864,Y,24.0
398,65,0.007765805539387688,0.9522925130055134,1.0477074869944865,1,3,2994,0,1,0,3.253457392382586E-9,1,AA9_300864,Y,24.0
399,65,0.01027671190398463,0.9498826813899407,1.0501173186100594,1,3,2994,0,1,0,3.536466119946624E-9,1,AA9_300864,Y,24.0
400,65,0.006018909657465574,0.9539690888367455,1.0460309111632546,1,3,2994,0,1,0,5.344653053462878E-9,1,AA9_300864,Y,24.0
401,65,0.010979792930613934,0.9492079023897478,1.0507920976102523,1,3,2994,0,1,0,1.870783195023762E-9,1,AA9_300864,Y,24.0
402,65,0.022707632492297746,0.9379521586644546,1.0620478413355454,1,3,2994,0,1,0,5.745481090890792E-9,1,AA9_300864,Y,24.0
0,-1,0.03630620833841126,0.9636937916615888,1.0363062083384111,1002480760,1,1,0,1002480765,424995173,1.0,0,AA9_300968,Y,4.0
5,0,0.006369877153977912,0.9575551805946532,1.0424448194053468,178,2,422,0,192,1727,1.9858057420663044E-9,1,AA9_300968,Y,4.0
10,0,0.0025220525044783583,0.9612633053207784,1.0387366946792216,112,2,439,0,162,1936,8.933908057784379E-9,1,AA9_300968,Y,4.0
43,0,0.007524925897382743,0.9564420672915674,1.0435579327084326,44,2,468,0,50,163,1.9874786261198096E-9,1,AA9_300968,Y,4.0
58,0,0.0015932636780037898,0.9621583733466166,1.0378416266533834,4,2,474,0,12,75,5.543130288110376E-9,1,AA9_300968,Y,4.0
61,0,0.010504590617688457,0.9535705828993758,1.046429417100624,50,2,475,0,62,236,1.1900187502078552E-9,1,AA9_300968,Y,4.0
62,0,0.01886263848401458,0.9455159840601869,1.054484015939813,26,2,475,0,27,66,3.743512722031994E-9,1,AA9_300968,Y,4.0
64,0,0.005570168895417251,0.9583258544785687,1.0416741455214313,24,2,477,0,27,115,6.532414054127855E-9,1,AA9_300968,Y,4.0
67,0,0.00497322883264379,0.9589011219110575,1.0410988780889425,28,2,479,0,28,70,8.646640403675576E-9,1,AA9_300968,Y,4.0
72,0,0.006184182994594862,0.9577341329031985,1.0422658670968015,2,2,481,0,10,36,6.40669184370779E-10,1,AA9_300968,Y,4.0
75,0,0.011414953417549372,0.9526932719209902,1.0473067280790098,12,2,483,0,13,40,3.8379616151829055E-9,1,AA9_300968,Y,4.0
82,0,0.006750717901835035,0.9571881667303316,1.0428118332696683,4,2,485,0,7,22,7.398964219085258E-9,1,AA9_300968,Y,4.0
83,0,0.0035787234118723975,0.9602449981274933,1.0397550018725066,8,2,485,0,8,17,5.872038966181492E-9,1,AA9_300968,Y,4.0
89,0,0.026220012641062718,0.9384257282621081,1.061574271737892,30,2,487,0,31,59,8.833527243012895E-9,1,AA9_300968,Y,4.0
97,0,0.003717121744953789,0.9601116245131265,1.0398883754868735,2,2,489,0,8,16,1.2707658259003551E-9,1,AA9_300968,Y,4.0
101,0,0.013307596184342256,0.9508693438367987,1.0491306561632014,2,2,489,0,4,9,1.9308940002460417E-9,1,AA9_300968,Y,4.0
102,0,0.019928332814380754,0.9444889810502041,1.055511018949796,6,2,490,0,10,11,7.161396031740708E-9,1,AA9_300968,Y,4.0
103,0,0.00855956158214732,0.9554449953055283,1.0445550046944718,4,2,490,0,7,11,6.940396923837966E-9,1,AA9_300968,Y,4.0
106,0,0.004066869173243592,0.9597745750878339,1.040225424912166,6,2,490,0,13,21,1.1693103152410345E-9,1,AA9_300968,Y,4.0
108,0,0.0010303304421150042,0.9627008686111626,1.0372991313888376,6,2,490,0,7,8,1.5599532776633396E-9,1,AA9_300968,Y,4.0
109,0,0.001410772031791865,0.9623342394131011,1.0376657605868989,6,2,491,0,6,5,9.964889802205334E-9,1,AA9_300968,Y,4.0
123,0,0.01328543264182959,0.9508907027051193,1.0491092972948808,2,2,495,0,3,1,1.2563859952408052E-9,1,AA9_300968,Y,4.0
124,0,0.004360310915274015,0.9594917871028249,1.040508212897175,2,2,495,0,2,1,7.504633137145333E-9,1,AA9_300968,Y,4.0
125,0,0.007838924128054002,0.956139469146077,1.043860530853923,4,2,495,0,4,0,4.251405449906542E-9,1,AA9_300968,Y,4.0
127,0,0.005189446406642433,0.9586927543773469,1.041307245622653,2,2,496,0,2,0,7.957228653765469E-9,1,AA9_300968,Y,4.0
129,0,0.003045471632680424,0.9607588895564931,1.0392411104435069,2,2,496,0,2,0,8.18766487942213E-9,1,AA9_300968,Y,4.0
131,0,0.0031093861373849,0.9606972955451123,1.0393027044548877,1,2,497,0,1,0,3.769180967339025E-9,1,AA9_300968,Y,4.0
132,0,0.0019564277492644245,0.9618083943857881,1.038191605614212,1,2,497,0,1,0,8.775856485954137E-9,1,AA9_300968,Y,4.0
133,0,0.014888454870258486,0.9493458801356869,1.0506541198643131,1,2,497,0,1,0,4.522430652187381E-9,1,AA9_300968,Y,4.0
134,0,0.003673043709150182,0.960154102242579,1.039845897757421,1,2,497,0,1,0,2.0310791937205863E-9,1,AA9_300968,Y,4.0
135,0,0.00838458155199265,0.9556136224742532,1.044386377525747,1,2,497,0,1,0,6.963439047602549E-9,1,AA9_300968,Y,4.0
136,0,0.01361743418173833,0.9505707548822873,1.0494292451177127,1,2,497,0,1,0,2.7715463257749207E-10,1,AA9_300968,Y,4.0
137,0,1.1972668348254168E-4,0.9635784118000204,1.0364215881999796,1,2,497,0,1,0,8.356009884025184E-9,1,AA9_300968,Y,4.0
138,0,0.021610621376155072,0.9428677700074388,1.0571322299925612,1,2,497,0,1,0,7.65417240700117E-9,1,AA9_300968,Y,4.0
